{'stock_code': '002415', 'initial_cash': 50000, 'final_value': 55204.0, 'return_rate': 10.407999999999994, 'max_drawdown': 0.4698139764902804, 'total_trades': 3, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '000786', 'initial_cash': 50000, 'final_value': 54692.0, 'return_rate': 9.383999999999993, 'max_drawdown': 0.0, 'total_trades': 2, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '600498', 'initial_cash': 50000, 'final_value': 54043.99999999999, 'return_rate': 8.087999999999983, 'max_drawdown': 3.8351693186454643, 'total_trades': 5, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '600170', 'initial_cash': 50000, 'final_value': 48447.0, 'return_rate': -3.1059999999999977, 'max_drawdown': 6.384, 'total_trades': 2, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '601921', 'initial_cash': 50000, 'final_value': 46834.0, 'return_rate': -6.332000000000004, 'max_drawdown': 6.332, 'total_trades': 3, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '002236', 'initial_cash': 50000, 'final_value': 52325.0, 'return_rate': 4.649999999999999, 'max_drawdown': 0.0, 'total_trades': 1, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '300140', 'initial_cash': 50000, 'final_value': 55325.0, 'return_rate': 10.650000000000004, 'max_drawdown': 0.11734970211229463, 'total_trades': 2, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '002460', 'initial_cash': 50000, 'final_value': 53756.0, 'return_rate': 7.512000000000008, 'max_drawdown': 0.8754863813229707, 'total_trades': 2, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '002572', 'initial_cash': 50000, 'final_value': 47543.000000000015, 'return_rate': -4.913999999999974, 'max_drawdown': 8.4, 'total_trades': 2, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '600919', 'initial_cash': 50000, 'final_value': 54717.00000000001, 'return_rate': 9.434000000000008, 'max_drawdown': 1.02873489446757, 'total_trades': 5, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '300146', 'initial_cash': 50000, 'final_value': 42111.0, 'return_rate': -15.778000000000002, 'max_drawdown': 15.778, 'total_trades': 3, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '601336', 'initial_cash': 50000, 'final_value': 51529.0, 'return_rate': 3.058000000000005, 'max_drawdown': 0.5429618569295507, 'total_trades': 3, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '000987', 'initial_cash': 50000, 'final_value': 52671.0, 'return_rate': 5.342000000000002, 'max_drawdown': 1.1930890877370701, 'total_trades': 3, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '002797', 'initial_cash': 50000, 'final_value': 50624.0, 'return_rate': 1.2480000000000047, 'max_drawdown': 3.745432399512789, 'total_trades': 3, 'start_date': '20240101', 'end_date': '20241231'}
